OACI,NOMSTN,LAT,LON
CYUL,MONTREAL (DORVAL),45.4667,-73.7500
CYOW,OTTAWA,45.3167,-75.6667
CYVO,VAL D'OR,48.0500,-77.7833
CYSC,SHERBROOKE,45.4333,-71.6833
CYQB,QUEBEC,46.8000,-71.4000
CYRJ,ROBERVAL,48.5167,-72.2667
CYGL,LA GRANDE RIVIERE,53.6333,-77.7000
CYBC,BAIE COMEAU,49.1333,-68.2000
CYZV,SEPT-ILES,50.2167,-66.2500
CYRQ,TROIS-RIVIÈRES (A),46.3539,-72.6792
CYMX,MIRABEL,45.6833,-74.0333
CWPK,PARENT,47.9167,-74.6167
CYYY,MONT JOLI,48.6167,-68.2167
CYWK,WABUSH LAKE,52.9333,-66.8667
CYAH,LA GRANDE IV,53.7500,-73.6667
CYYB,NORTH BAY,46.3667,-79.4167
CYGP,GASPE,48.7833,-64.4833
